name,profile_url,emails,org_number,revenue,legal_name,registration_date,company_type,employees,address,postal_address,city,share_capital,sni_codes,business_purpose,ceo,phone,website
JoS Gunnarsson AB,https://www.allabolag.se/foretag/jos-gunnarsson-ab/hallsberg/-/5593269276,[],559326-9276,7234,JoS Gunnarsson AB,2021-07-09,Aktiebolag,1,"Uddviksvägen 11, 694 92 Hallsberg","Uddviksvägen 11, 694 92 Hallsberg",Hallsberg,25Tkr,"['43320 Byggnadssnickeriarbeten', '69201 Redovisning och bokföring; skatterådgivning']","Redovisning, bokföring samt snickeri och byggtjänster",,,
Centrumledningsbolaget i Örebro Aktiebolag,https://www.allabolag.se/foretag/centrumledningsbolaget-i-%C3%B6rebro-aktiebolag/%C3%B6rebro/-/5564689718,[],556468-9718,7229,Centrumledningsbolaget i Örebro Aktiebolag,1993-06-23,Aktiebolag,5,"Drottninggatan 17, 702 10 Örebro","c/o City Örebro, Drottninggatan 17, 702 10 Örebro",Örebro,100Tkr,['70200 Konsultverksamhet avseende företags organisation'],"Bolaget ska bedriva och tillhandahålla tjänster avseende administration, marknadsföring, affärsutveckling, gatuskötsel och förvaltning av parkeringsanläggning och därmed förenlig verksamhet i cityområdet.",Armina Ilijasevic,019-10 24 90,
LGN Logistik AB,https://www.allabolag.se/foretag/lgn-logistik-ab/gyttorp/-/5566348958,[],556634-8958,7227,LGN Logistik AB,2002-11-04,Aktiebolag,7,"Enbergsäng 501, 713 92 Gyttorp","Enbergsäng 501, 713 92 Gyttorp",Gyttorp,100Tkr,"['49410 Vägtransport, godstrafik', '25510 Beläggning och överdragning av metall']","Bolaget skall bedriva transport av maskiner, betong och vanligt förekommande massor såsom grus, jord m.m.",,0587-720 34,
Örebros bästa Catering& AB,https://www.allabolag.se/foretag/%C3%B6rebros-b%C3%A4sta-catering-ab/%C3%B6rebro/-/5592729833,[],559272-9833,7225,Örebros bästa Catering& AB,2020-09-23,Aktiebolag,0,,"Wadköpingsvägen 11, 702 15 Örebro",Örebro,25Tkr,['56110 Restaurangverksamhet'],"Restaurangverksamhet, kursverksamhet, pralintillverkning, catering och därmed förenlig verksamhet.",Mikael Bertil Norman,,
Carjitas AB,https://www.allabolag.se/foretag/carjitas-ab/%C3%B6rebro/-/5567939268,[],556793-9268,7222,Carjitas AB,2009-11-19,Aktiebolag,6,"Drottninggatan 52, 702 22 Örebro","c/o Elias yousef, Drottninggatan 52, 702 22 Örebro",Örebro,100Tkr,"['49410 Vägtransport, godstrafik']","Aktiebolagets verksamhet ska vara att bedriva gods- och budtransport, taxirörelse, uthyrning av lokaler, personal och bilar, handel med värdepapper, import och export av kläder, bilmotorer, verktygsmaskiner och husgeråd jämte därmed förenlig verksamhet.",,070-763 27 51,
DG Budgethandel AB,https://www.allabolag.se/foretag/dg-budgethandel-ab/%C3%B6rebro/-/5568113905,[],556811-3905,7214,DG Budgethandel AB,2010-06-14,Aktiebolag,2,"Bolagsvägen 7, 702 36 Örebro","Bolagsvägen 7, 702 36 Örebro",Örebro,50Tkr,"['47553 Detaljhandel via internet eller postorder med möbler, belysningsartiklar, bordsartiklar och hushållsartiklar', '47551 Detaljhandel med möbler', '47552 Detaljhandel med belysningsartiklar, bordsartiklar och hushållsartiklar utom möbler']","Föremålet för bolagets verksamhet är att köpa och sälja belysning, elartiklar och möbler till privatpersoner i butik, import och export av detsamma och därmed förenlig verksamhet.",,,
BB Bygg i Lindesberg AB,https://www.allabolag.se/foretag/bb-bygg-i-lindesberg-ab/lindesberg/-/5593867905,[],559386-7905,7212,BB Bygg i Lindesberg AB,2022-06-28,Aktiebolag,1,"Handbollsgatan 8 a, 711 34 Lindesberg","Handbollsgatan 8 a, 711 34 Lindesberg",Lindesberg,25Tkr,"['41000 Byggande av bostadshus och andra byggnader', '43320 Byggnadssnickeriarbeten']",Bolaget skall bedriva byggnadsarbeten. Ny- och ombyggnationer och därmed förenlig verksamhet.,,,
Svenska PlåtIsolering AB,https://www.allabolag.se/foretag/svenska-pl%C3%A5tisolering-ab/kumla/-/5592854227,[],559285-4227,7207,Svenska PlåtIsolering AB,2020-11-25,Aktiebolag,5,Kumla,"Box 11, 692 21 Kumla",Kumla,30Tkr,['43240 Andra bygginstallationer'],Bolaget ska bedriva VVS isolering och plåtarbeten samt därmed förenlig verksamhet.,Michael Per-Owe Thungren,,
Fastigheten Liften 2 Kumla AB,https://www.allabolag.se/foretag/fastigheten-liften-2-kumla-ab/kumla/-/5568164759,[],556816-4759,7204,Fastigheten Liften 2 Kumla AB,2010-08-23,Aktiebolag,0,Kumla,"Box 139, 692 23 Kumla",Kumla,50Tkr,"['68202 Uthyrning och förvaltning av egna eller arrenderade industrilokaler', '68209 Övrig förvaltning av egna eller arrenderade fastigheter']",Bolaget ska äga och förvalta fastigheter och värdepapper samt idka därmed förenlig verksamhet.,,,
IFH Properties Laxå AB,https://www.allabolag.se/foretag/ifh-properties-lax%C3%A5-ab/lax%C3%A5/-/5566986005,[],556698-6005,7196,IFH Properties Laxå AB,2006-02-22,Aktiebolag,2,"Järnvägsgatan 1, 695 30 Laxå","c/o Laxbo, Järnvägsgatan 1, 695 30 Laxå",Laxå,100Tkr,['68201 Uthyrning och förvaltning av egna eller arrenderade bostäder'],"Bolaget skall bedriva handel, äga och förvalta hyresfastigheter, aktier och andelar i bolag, bedriva fastighetsförvaltning samt därmed förenlig verksamhet.",,040-29 06 60,
CSI Sociala Insatser AB,https://www.allabolag.se/foretag/csi-sociala-insatser-ab/hallsberg/-/5592801996,[],559280-1996,7189,CSI Sociala Insatser AB,2020-11-02,Aktiebolag,2,"Västra Storgatan 15, 694 31 Hallsberg","Västra Storgatan 15, 694 31 Hallsberg",Hallsberg,25Tkr,['87992 Omsorg och sociala insatser i övriga boendeformer för vuxna'],"Bolaget ska direkt eller indirekt via dotterbolag bedriva konsulentstödd familjevård för barn, unga och vuxna, stödboende för vuxna, handledning, föreläsningar, terapi, öppenvård och konsultverksamhet inom denna bransch, äga och förvalta värdepapper och fastigheter samt därmed förenlig verksamhet.",,,
Oggi Bags AB,https://www.allabolag.se/foretag/oggi-bags-ab/hallsberg/-/5590077706,[],559007-7706,7185,Oggi Bags AB,2015-03-18,Aktiebolag,4,"Tallstigen 10, 694 35 Hallsberg","Tallstigen 10, 694 35 Hallsberg",Hallsberg,50Tkr,"['47722 Detaljhandel med väskor, reseffekter och lädervaror']","Bedriva försäljning inom detaljhandeln såsom handväskor, scarves, resväskor, småläder, paraply, handskar, sportväskor, glasögon, reseaccessoarer.",Maud Agneta Jeanette Fransson,,
Bygg & Entreprenad i Örebro AB,https://www.allabolag.se/foretag/bygg-entreprenad-i-%C3%B6rebro-ab/%C3%B6rebro/-/5566409255,[],556640-9255,7183,Bygg & Entreprenad i Örebro AB,2003-03-20,Aktiebolag,1,"Tjusebotorp 520, 705 91 Örebro","c/o Bygg & Entreprenad i Örebro AB, Tjusebotorp 520, 705 91 Örebro",Örebro,100Tkr,['41000 Byggande av bostadshus och andra byggnader'],Bolaget skall bedriva byggnation och konsultverksamhet inom affärsområdet byggnationer och fastighetsförvaltning samt idka därmed förenlig verksamhet.,,,
Frosths Eftr. Konditori Östlund & Co Aktiebolag,https://www.allabolag.se/foretag/frosths-eftr.-konditori-%C3%B6stlund-co-aktiebolag/lindesberg/-/5561934760,[],556193-4760,7181,Frosths Eftr. Konditori Östlund & Co Aktiebolag,1976-01-01,Aktiebolag,8,"Kristinavägen 16, 711 30 Lindesberg","Kristinavägen 16, 711 30 Lindesberg",Lindesberg,100Tkr,['10710 Tillverkning av mjukt matbröd och färska bakverk'],Bolaget skall bedriva café och konditorirörelse och därmed förenlig verksamhet.,Mari Liselott Östlund Johansson,,
Bostanci i Örebro AB,https://www.allabolag.se/foretag/bostanci-i-%C3%B6rebro-ab/%C3%B6rebro/-/5590501275,[],559050-1275,7174,Bostanci i Örebro AB,2016-02-04,Aktiebolag,4,"Järnvägsgatan 26, 703 62 Örebro","Järnvägsgatan 26, 703 62 Örebro",Örebro,50Tkr,['56110 Restaurangverksamhet'],"Föremålet för bolagets verksamhet är att bedriva restaurang-, café- och cateringverksamhet, utföra reklam för verksamheten via internet, import och försäljning av livsmedel, förvalta fast egendom, handel med värdepapper, ävensom idka därmed förenlig verksamhet.",,,
Presennings-Service i Örebro Aktiebolag,https://www.allabolag.se/foretag/presennings-service-i-%C3%B6rebro-aktiebolag/%C3%B6rebro/-/5563392223,[],556339-2223,7167,Presennings-Service i Örebro Aktiebolag,1988-10-27,Aktiebolag,4,"Osmundgatan 25, 703 83 Örebro","Osmundsgatan 25, 703 83 Örebro",Örebro,100Tkr,['13960 Tillverkning av andra tekniska textilier och industritextilier'],Bolaget skall tillverka och uthyra presenningar och därmed förenlig verksamhet.,,,
Peter Ericssons Mekaniska AB,https://www.allabolag.se/foretag/peter-ericssons-mekaniska-ab/karlskoga/-/5569054165,[],556905-4165,7166,Peter Ericssons Mekaniska AB,2012-10-01,Aktiebolag,4,"Silovägen 5, 691 42 Karlskoga","Silovägen 5, 691 42 Karlskoga",Karlskoga,50Tkr,['25530 Metallegoarbeten'],"Aktiebolagets verksamhet ska vara att driva mekanisk verkstad med skärande bearbetning, legoarbeten samt tillverkning och försäljning av fordonsdetaljer jämte därmed förenlig verksamhet.",,0586-501 00,
Förskolan Våra Små AB,https://www.allabolag.se/foretag/f%C3%B6rskolan-v%C3%A5ra-sm%C3%A5-ab/h%C3%A4llefors/-/5568619604,[],556861-9604,7160,Förskolan Våra Små AB,2011-08-22,Aktiebolag,10,"Gillersvägen 37, 712 30 Hällefors","c/o Lilla Pyret, Gillersvägen 37, 712 30 Hällefors",Hällefors,50Tkr,['85100 Förskoleutbildning'],Aktiebolaget ska bedriva förskoleverksamhet.,Anna Sofia Erika Bergström,070-275 99 96,
PeCe Data Mellansverige AB,https://www.allabolag.se/foretag/pece-data-mellansverige-ab/%C3%B6rebro/-/5565228763,[],556522-8763,7155,PeCe Data Mellansverige AB,1995-07-25,Aktiebolag,2,"Gustavsviksvägen 7, 702 44 Örebro","Gustavsviksvägen 7, 702 44 Örebro",Örebro,167Tkr,['46503 Partihandel med telekommunikationsutrustning'],"Bolaget skall bedriva rörelse genom försäljning och uthyrning av datorer, periferutrustning, kommunikations- och nätverksprodukter samt programvara ävensom idka därmed förenlig verksamhet.",,073-886 24 70,
Lock & Load Event AB,https://www.allabolag.se/foretag/lock-load-event-ab/%C3%B6rebro/-/5569335333,[],556933-5333,7151,Lock & Load Event AB,2013-06-03,Aktiebolag,3,"Drottninggatan 36, 702 10 Örebro","c/o EmRedo Ekonomikonsult AB, Drottninggatan 36, 702 10 Örebro",Örebro,50Tkr,"['47711 Detaljhandel med kläder, utom via internet eller postorder', '47789 Övrig specialiserad detaljhandel', '93290 Övrig fritids- och nöjesverksamhet']","Bolaget ska bedriva träningsskytte, butik, utbildning och event inom jakt-, skytte- och friluftsliv.",Anton Viktor Arne Petersson,,
Delibake Maskin AB,https://www.allabolag.se/foretag/delibake-maskin-ab/%C3%B6rebro/-/5565393062,[],556539-3062,7150,Delibake Maskin AB,1997-02-25,Aktiebolag,0,"Ringgatan 6, 703 42 Örebro","Villa Viking, Ringgatan 6, 703 42 Örebro",Örebro,100Tkr,['77390 Uthyrning och leasing av diverse övrig utrustning samt diverse övriga maskiner och materiella tillgångar'],Bolaget ska äga och förvalta lös egendom och bedriva uthyrning av sådan egendom inom bageri- och konditoribranschen samt bedriva därmed förenlig verksamhet.,,,
Mathisborgen i Kanaansland AB,https://www.allabolag.se/foretag/mathisborgen-i-kanaansland-ab/%C3%B6rebro/-/5590372123,[],559037-2123,7145,Mathisborgen i Kanaansland AB,2015-11-25,Aktiebolag,0,"Dyringe Dyringe Gård 375, 705 94 Örebro","Dyringe Dyringe Gård 375, 705 94 Örebro",Örebro,50Tkr,['01500 Blandat jordbruk'],Bolaget ska bedriva växtodling och handel med växtodlingsprodukter. Äga och förvalta fastigheter och värdepapper.,,,
BJP Race AB,https://www.allabolag.se/foretag/bjp-race-ab/%C3%B6stansj%C3%B6/-/5590941869,[],559094-1869,7143,BJP Race AB,2016-12-27,Aktiebolag,3,"Harkranketorp 103, 694 93 Östansjö","Harkranketorp 103, 694 93 Östansjö",Östansjö,50Tkr,['47820 Detaljhandel med reservdelar och tillbehör till motorfordon'],"Bolaget skall bedriva utveckling, tillverkning, import och försäljning av fordonsprodukter. Bolaget skall även utföra service, reparationer och modifieringar av motorfordon samt därmed förenlig verksamhet.",,,
C E Skog AB,https://www.allabolag.se/foretag/c-e-skog-ab/ramsberg/-/5565577144,[],556557-7144,7132,C E Skog AB,1998-07-01,Aktiebolag,1,"Resta 512, 711 98 Ramsberg","Resta 512, 711 98 Ramsberg",Ramsberg,100Tkr,['02200 Drivning'],"Bolaget skall bedriva skogshantering, avverkning samt utföra skogstransporter och därmed förenlig verksamhet.",,,
Viktor Källbom Markentreprenad AB,https://www.allabolag.se/foretag/viktor-k%C3%A4llbom-markentreprenad-ab/%C3%B6rebro/-/5594227968,[],559422-7968,7121,Viktor Källbom Markentreprenad AB,2023-02-20,Aktiebolag,4,,"c/o Viktor Källbom, Bistagatan 8, 702 27 Örebro",Örebro,25Tkr,['43120 Mark- och grundarbeten'],Föremålet för bolagets verksamhet är mark och anläggningsarbeten samt konsulttjänster inom området och därmed förenlig verksamhet.,,,
Truckservice i Kumla Aktiebolag,https://www.allabolag.se/foretag/truckservice-i-kumla-aktiebolag/kumla/-/5562590231,[],556259-0231,7104,Truckservice i Kumla Aktiebolag,1985-05-28,Aktiebolag,5,"Yxhultsvägen 28, 692 72 Kumla","Yxhultsvägen 28, 692 72 Kumla",Kumla,100Tkr,"['33120 Reparation och underhåll av maskiner', '46649 Partihandel med diverse andra maskiner och diverse annan utrustning', '77390 Uthyrning och leasing av diverse övrig utrustning samt diverse övriga maskiner och materiella tillgångar']",Bolaget skall bedriva försäljning och service av nya och begagnade truckar samt försäljning av reservdelar till dessa och därmed förenlig verksamhet.,,019-57 28 98,
Molles Schakt i Glanshammar AB,https://www.allabolag.se/foretag/molles-schakt-i-glanshammar-ab/glanshammar/-/5567837249,[],556783-7249,7102,Molles Schakt i Glanshammar AB,2009-06-08,Aktiebolag,5,"Björka  Verken, Gruva, 705 97 Glanshammar","Biverud 439, 705 97 Glanshammar",Glanshammar,100Tkr,['43120 Mark- och grundarbeten'],"Bolaget skall bedriva maskin- och entreprenörsverksamhet, företrädesvis inom markanläggning, samt därmed förenlig verksamhet.",,019-46 59 70,
Mikael Andersson Entreprenadservice AB,https://www.allabolag.se/foretag/mikael-andersson-entreprenadservice-ab/sk%C3%B6llersta/-/5592101421,[],559210-1421,7101,Mikael Andersson Entreprenadservice AB,2019-06-25,Aktiebolag,1,"Testa Skogsberg 466, 697 94 Sköllersta","Testa Skogsberg 466, 697 94 Sköllersta",Sköllersta,50Tkr,"['33120 Reparation och underhåll av maskiner', '43120 Mark- och grundarbeten', '49410 Vägtransport, godstrafik']","Bolaget skall bedriva reparation av maskiner, mark och grundarbeten, vägtransport, godstrafik och därmed förenlig verksamhet.",,,
Fastighetsbolaget Bageriet AB,https://www.allabolag.se/foretag/fastighetsbolaget-bageriet-ab/%C3%B6rebro/-/5593414336,[],559341-4336,7096,Fastighetsbolaget Bageriet AB,2021-10-19,Aktiebolag,0,"Vasagatan 15, 702 10 Örebro","Vasagatan 15, 702 10 Örebro",Örebro,25Tkr,['68201 Uthyrning och förvaltning av egna eller arrenderade bostäder'],Bolaget ska äga och förvalta fastigheter samt därmed förenlig verksamhet.,,,
Resares Rör AB,https://www.allabolag.se/foretag/resares-r%C3%B6r-ab/lindesberg/-/5593368045,"[""andreas@resaresror.se"", ""andreas@resaresror.se""]",559336-8045,7095,Resares Rör AB,2021-09-23,Aktiebolag,1,"FORNABODA 326, 711 91 Lindesberg","FORNABODA 326, 711 91 Lindesberg",Lindesberg,25Tkr,"['43221 Värme- och sanitetsarbeten', '46842 Partihandel med VVS-varor']",Utför VVS arbeten för såväl privatperson som företag.,,073-510 76 78,https://www.resaresror.se/
JA Wikström AB,https://www.allabolag.se/foretag/ja-wikstr%C3%B6m-ab/kumla/-/5568711096,[],556871-1096,7093,JA Wikström AB,2011-11-08,Aktiebolag,5,"Lugnets Gata 16, 692 71 Kumla","Lugnets Gata 16, 692 71 Kumla",Kumla,250Tkr,['56110 Restaurangverksamhet'],"Föremålet för bolagets verksamhet är att bedriva handel med värdepapper, äga och förvalta fastigheter samt därmed förenlig verksamhet.",,,
Blästermäster i Örebro AB,https://www.allabolag.se/foretag/bl%C3%A4sterm%C3%A4ster-i-%C3%B6rebro-ab/karlskoga/-/5590824172,[],559082-4172,7086,Blästermäster i Örebro AB,2016-10-27,Aktiebolag,6,"Äspenäs 501, 691 93 Karlskoga","Äspenäs 501, 691 93 Karlskoga",Karlskoga,50Tkr,"['43341 Måleriarbeten', '43999 Annan övrig specialiserad bygg- och anläggningsverksamhet', '43991 Uthyrning av bygg- och anläggningsmaskiner med förare']","Bolaget ska utföra blästrings- och måleriarbeten, underhållsarbete inom industri, uthyrning av bygg- & anläggningsmaskiner med förare samt därmed förenlig verksamhet.",,,
The Fellowship Of Korv AB,https://www.allabolag.se/foretag/the-fellowship-of-korv-ab/%C3%B6rebro/-/5594694639,[],559469-4639,7072,The Fellowship Of Korv AB,2024-01-24,Aktiebolag,5,"Termikgatan 23 e, 702 39 Örebro","c/o Kevin Nordin, Termikgatan 23 e, 702 39 Örebro",Örebro,50Tkr,['56110 Restaurangverksamhet'],Restaurang.,John Kevin Nordin,,
Ante på Röken AB,https://www.allabolag.se/foretag/ante-p%C3%A5-r%C3%B6ken-ab/odensbacken/-/5590317110,[],559031-7110,7072,Ante på Röken AB,2015-10-22,Aktiebolag,4,"Lännäs 330, 715 94 Odensbacken","Lännäs 330, 715 94 Odensbacken",Odensbacken,50Tkr,"['56110 Restaurangverksamhet', '69201 Redovisning och bokföring; skatterådgivning', '68110 Handel med egna fastigheter', '47112 Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad', '64994 Förvaltning av och handel med värdepapper, för en begränsad och sluten krets av ägare']","Bolaget skall bedriva försäljning av mat på marknadsplatser och torghandelsplatser. Bolaget skall även bedriva restaurangverksamhet samt tillverkning av livsmedel. Bolaget skall även äga, förvalta samt hyra ut fastigheter. Bolaget skall även äga och förvalta värdepapper.",,,
Micke Alkmans Gödseltransport AB,https://www.allabolag.se/foretag/micke-alkmans-g%C3%B6dseltransport-ab/%C3%B6rebro/-/5569552879,[],556955-2879,7068,Micke Alkmans Gödseltransport AB,2013-12-18,Aktiebolag,3,"Södra Bro 224, 705 94 Örebro","Södra Bro 224, 705 94 Örebro",Örebro,50Tkr,"['49410 Vägtransport, godstrafik', '43120 Mark- och grundarbeten']","Bolaget skall bedriva åkeri, snöröjning, gräsklippning, entreprenadverksamhet inom markarbeten, lantbruksverksamhet, handel med värdepapper och handel med fastigheter samt annan därmed förenlig verksamhet.",,,
Coo Coo Thai AB,https://www.allabolag.se/foretag/coo-coo-thai-ab/%C3%B6rebro/-/5566454764,[],556645-4764,7068,Coo Coo Thai AB,2003-06-17,Aktiebolag,6,"Storgatan 13, 703 61 Örebro","Storgatan 13, 703 61 Örebro",Örebro,100Tkr,['56110 Restaurangverksamhet'],"Bolaget ska bedriva restaurang- och pubverksamhet, livsmedelsförsäljning, handel med aktier och värdepapper samt därmed förenlig verksamhet.",,,
Eltjänst i Fellingsbro Aktiebolag,https://www.allabolag.se/foretag/eltj%C3%A4nst-i-fellingsbro-aktiebolag/fellingsbro/-/5562348283,[],556234-8283,7067,Eltjänst i Fellingsbro Aktiebolag,1983-05-14,Aktiebolag,5,"Bergsvägen 11, 732 71 Fellingsbro","Bergsvägen 11, 732 71 Fellingsbro",Fellingsbro,100Tkr,['43210 Elinstallationer'],"Bolaget skall bedriva installation, försäljning och service inom elbranschen, ävensom idka därmed förenlig verksamhet.",,,
A Persson Affärsutveckling AB,https://www.allabolag.se/foretag/a-persson-aff%C3%A4rsutveckling-ab/karlskoga/-/5563414332,[],556341-4332,7066,A Persson Affärsutveckling AB,1988-11-15,Aktiebolag,6,"Kungsvägen 35, 691 31 Karlskoga","Kungsvägen 35, 691 31 Karlskoga",Karlskoga,1 000Tkr,"['70200 Konsultverksamhet avseende företags organisation', '25530 Metallegoarbeten']","Bolaget skall bedriva verksamhet inom verkstadsindustri, maskinentreprenad, maskinuthyrning, fastigheter och lantbruk. Vidare verksamhet inom informationsteknologi, handel med värdepapper och konsultverksamhet rörande företagsledning samt idka därmed förenlig verksamhet.",Per Anders Gunnar Persson,,
PeWe Konditori AB,https://www.allabolag.se/foretag/pewe-konditori-ab/hallsberg/-/5567580393,[],556758-0393,7059,PeWe Konditori AB,2008-05-15,Aktiebolag,7,"Västra Storgatan 11, 694 30 Hallsberg","Box 112, 694 23 Hallsberg",Hallsberg,100Tkr,"['10710 Tillverkning av mjukt matbröd och färska bakverk', '47241 Detaljhandel med bröd och konditorivaror', '78201 Personaluthyrning']",Bolaget ska bedriva tillverkning och försäljning av matbröd och färska bakverk samt caféverksamhet jämte därmed förenlig verksamhet.,,,
Johansson Jord & Maskin AB,https://www.allabolag.se/foretag/johansson-jord-maskin-ab/karlskoga/-/5594297185,[],559429-7185,7058,Johansson Jord & Maskin AB,2023-04-11,Aktiebolag,1,"Lonnhyttan Björkåsen 507, 691 91 Karlskoga","c/o Richard Johansson, Lonnhyttan Björkåsen 507, 691 91 Karlskoga",Karlskoga,25Tkr,"['01110 Odling av spannmål (utom ris), baljväxter och oljeväxter', '42110 Anläggning av vägar och motorvägar']","Företaget skall bedriva jordbruk med inriktning växtodling och djurhållning, bedriva entreprenad verksamhet inom jordbruk, skogsbruk samt mark och anläggningsarbeten. Företaget skall dessutom bedriva fastighetsförvaltning och skogsförvaltning samt erbjuda jakt- och fisketurism. Äga och förvalta fast och lös egendom och därmed förenlig verksamhet.",Richard Bengt Gustav Johansson,,
Zodiak Hairteam Aktiebolag,https://www.allabolag.se/foretag/zodiak-hairteam-aktiebolag/%C3%B6rebro/-/5564873767,[],556487-3767,7052,Zodiak Hairteam Aktiebolag,1994-05-20,Aktiebolag,6,"Nygatan 32, 702 11 Örebro","Nygatan 32, 702 11 Örebro",Örebro,100Tkr,['96210 Frisörer och barberare'],"Bolaget skall bedriva frisörverksamhet, äga och förvalta värdepapper jämte därmed förenlig verksamhet.",,019-611 41 50,
Tycke Grus AB,https://www.allabolag.se/foretag/tycke-grus-ab/vretstorp/-/5567657399,[],556765-7399,7048,Tycke Grus AB,2008-09-11,Aktiebolag,0,"Tycke Höjden 226, 694 94 Vretstorp","Tycke Höjden 226, 694 94 Vretstorp",Vretstorp,100Tkr,"['08120 Utvinning av sand, grus och berg samt utvinning av lera och kaolin', '43120 Mark- och grundarbeten']","Bolaget ska bedriva produktion av bergmaterial samt leverans av detta, entreprenadverksamhet samt annan därmed förenlig verksamhet.",,,
Kumla Däck Aktiebolag,https://www.allabolag.se/foretag/kumla-d%C3%A4ck-aktiebolag/kumla/-/5563025914,[],556302-5914,7044,Kumla Däck Aktiebolag,1987-07-22,Aktiebolag,3,"Sörbyvägen 4, 692 34 Kumla","Box 110, 692 22 Kumla",Kumla,100Tkr,['95313 Däckservice'],Bolaget skall bedriva gummiverkstad för fordon samt därmed förenlig verksamhet.,,,
Falken pizzeria AB,https://www.allabolag.se/foretag/falken-pizzeria-ab/vintrosa/-/5590322219,[],559032-2219,7044,Falken pizzeria AB,2015-10-27,Aktiebolag,6,"Skolgatan 4, 719 30 Vintrosa","Skolgatan 4, 719 30 Vintrosa",Vintrosa,50Tkr,['56110 Restaurangverksamhet'],Bolagets verksamhet ska bestå av restaurang samt därmed förenlig verksamhet.,,,
CCL Försäljnings Aktiebolag,https://www.allabolag.se/foretag/ccl-f%C3%B6rs%C3%A4ljnings-aktiebolag/%C3%A5torp/-/5562130061,[],556213-0061,7042,CCL Försäljnings Aktiebolag,1981-01-01,Aktiebolag,4,,"Klockarv 7, 693 70 Åtorp",Åtorp,100Tkr,[],Bolaget skall bedriva försäljning av leksaker och sportartiklar samt därmed förenlig verksamhet.,,0550-177 77,
Nya Väster Tobak i Örebro AB,https://www.allabolag.se/foretag/nya-v%C3%A4ster-tobak-i-%C3%B6rebro-ab/%C3%B6rebro/-/5565875670,[],556587-5670,7039,Nya Väster Tobak i Örebro AB,2000-03-24,Aktiebolag,2,"Ekersgatan 17 b, 703 42 Örebro","Ekersgatan 17 b, 703 42 Örebro",Örebro,100Tkr,"['47260 Detaljhandel med tobaksvaror', '92000 Spel- och vadhållningsverksamhet']",Bolaget skall bedriva tobak- och spelbutik samt därmed förenlig verksamhet.,,073-698 45 54,
Hamburgerbruket i Örebro AB,https://www.allabolag.se/foretag/hamburgerbruket-i-%C3%B6rebro-ab/%C3%B6rebro/-/5591214019,[],559121-4019,7039,Hamburgerbruket i Örebro AB,2017-08-10,Aktiebolag,10,"Mejeritorget 2 b, 703 80 Örebro","Mejeritorget 2 b, 703 80 Örebro",Örebro,50Tkr,['56110 Restaurangverksamhet'],Bolaget skall bedriva snabbmatsrestaurang (hamburgare) jämte därmed förenlig verksamhet.,,019-760 14 66,
Säby Entreprenad & Släp Aktiebolag,https://www.allabolag.se/foretag/s%C3%A4by-entreprenad-sl%C3%A4p-aktiebolag/vintrosa/-/5564136421,[],556413-6421,7017,Säby Entreprenad & Släp Aktiebolag,1990-12-04,Aktiebolag,5,"Säby 529, 719 91 Vintrosa","Säby 529, 719 91 Vintrosa",Vintrosa,100Tkr,"['47813 Detaljhandel med husvagnar, husbilar, släpfordon och påhängsvagnar', '77390 Uthyrning och leasing av diverse övrig utrustning samt diverse övriga maskiner och materiella tillgångar', '81230 Annan rengöring']","Bolaget skall bedriva handel med bilsläpkärror, husvagnar, husbilar, lastbilar, personbilar, traktorer, lastmaskiner, grävmaskiner. Uthyrning av ovanstående transportmedel och maskiner, åkeriverksamhet och därmed förenlig verksamhet.",,070-529 45 00,
Motorcentrum V AB,https://www.allabolag.se/foretag/motorcentrum-v-ab/kumla/-/5569612558,[],556961-2558,7012,Motorcentrum V AB,2014-02-06,Aktiebolag,3,"Industrigatan 5, 692 33 Kumla","Industrigatan 5, 692 33 Kumla",Kumla,50Tkr,"['95311 Allmän service och reparation av motorfordon utom motorcyklar', '47811 Detaljhandel med personbilar och lätta motorfordon']","Bolagets verksamhet består av handel med motorfordon, biluthyrning, service och reparation av motorfordon, konsultverksamhet inom försäljning och utbildning samt därmed förenlig verksamhet.",Thomas Erik Pettersson,,
Hagvidson Solåsen AB,https://www.allabolag.se/foretag/hagvidson-sol%C3%A5sen-ab/%C3%B6rebro/-/5566124722,[],556612-4722,7002,Hagvidson Solåsen AB,2001-06-27,Aktiebolag,7,"Elementvägen 4, 702 27 Örebro","Elementvägen 4, 702 27 Örebro",Örebro,100Tkr,['85100 Förskoleutbildning'],Bolaget skall bedriva pedagogisk förskoleverksamhet samt därmed förenlig verksamhet.,Bengt Michael Enghag,070-515 05 80,
PALM & GYLL Aktiebolag,https://www.allabolag.se/foretag/palm-gyll-aktiebolag/vintrosa/-/5561606624,[],556160-6624,6998,PALM & GYLL Aktiebolag,1972-01-01,Aktiebolag,2,"Nybble 6, 719 91 Vintrosa","Nybble 6, 719 91 Vintrosa",Vintrosa,100Tkr,"['49320 Icke-reguljär vägtransport, passagerartrafik', '78201 Personaluthyrning', '49410 Vägtransport, godstrafik']","Bolagets verksamhet ska vara att bedriva persontransporter med buss, godstransporter, service & underhåll av fordon, uthyrning av personal, resebyråverksamhet, charterresor med buss flyg samt idka därmed förenlig verksamhet.",Karl Henrik Gyll,,
